timeMillis,boost,rpm,fuelTrim,fuelPressure,coolant,load,speed,throttle,timing
1777642520465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642520679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642520879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642521080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642521281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642521481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642521682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642521882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642522083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642522283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642522484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642522685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642522885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642523086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642523288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642523489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642523690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642523891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642524091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642524292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642524493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642524693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642524893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642525093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642525295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642525496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642525696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642525897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
