timeMillis,boost,rpm,fuelTrim,fuelPressure,coolant,load,speed,throttle,timing
1777637701259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637701472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637701672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637701873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637702074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637702274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637702475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637702675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637702876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637703076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637703277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637703477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637703678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637703879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637704079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637704280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637704481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637704681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637704883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637705084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637705284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637705485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637705686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637705886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637706089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637706289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637706455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637706490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637706655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637706691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637706857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637706892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637707058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637707094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637707260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637707294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637707461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637707497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637707663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637707699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637707863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637707900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637708065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637708101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637708266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637708302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637708467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637708505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637708669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777637708706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
